hhid;vilid;distid;stateid;gender;male_adult;female_adult;male_child;female_child;age;educ;esw_hear;esw_use;esw_plan;zt_hear;zt_use;zt_plan;plot_area_num;wheat_number;wheat_value;cost_nonlab;cost_lab;water;fuel;lighting;income;income_agric
1201 1;1201;Kurukshetra;Haryana;Female;2;2;0;0;42;Completed secondary education;2;;;2;;;1,5;10;20000;14000;7000;Pipeline inside own house;LPG;Solar;80000;20
1201 2;1201;Kurukshetra;Haryana;Male;3;3;0;0;76;No formal education;2;;;2;;;1;25;50000;10000;5000;Borewell in residence yard;LPG;Solar;100000;20
1201 3;1201;Kurukshetra;Haryana;Male;3;1;0;0;47;Completed secondary education;2;;;2;;;4;60;114000;20000;16000;Borewell in residence yard;Wood;Solar;500000;10
1201 4;1201;Kurukshetra;Haryana;Male;4;5;2;0;56;Some secondary education;1;1;Yes;1;1;Yes;4;88;173800;40000;10000;Pipeline inside own house;LPG;Solar;;
1201 5;1201;Kurukshetra;Haryana;Male;2;1;0;0;55;Completed primary education;2;;;2;;;2;44;85000;10000;6000;Public well – sealed with pump/ handpump;LPG;Solar;100000;25
1201 6;1201;Kurukshetra;Haryana;Male;3;2;2;0;41;Some secondary education;1;1;No;1;1;Yes;1;18;35640;15000;5000;Pipeline inside own house;LPG;Solar;;
1201 7;1201;Kurukshetra;Haryana;Male;4;3;2;0;71;Some secondary education;2;;;2;;;1,75;12;22800;8000;6000;Pipeline inside own house;LPG;Solar;1000000;80
1201 8;1201;Kurukshetra;Haryana;Male;2;1;0;0;23;Completed secondary education;2;;;2;;;0,5;2;3800;10000;5000;Pipeline inside own house;LPG;Solar;50000;30
1201 9;1201;Kurukshetra;Haryana;Male;3;3;0;1;50;Completed secondary education;2;;;2;;;1;60;120000;48000;;Pipeline inside own house;LPG;Solar;;
1201 10;1201;Kurukshetra;Haryana;Male;3;3;3;0;80;No formal education;2;;;2;;;7;140;280000;35000;70000;Pipeline inside own house;Wood;Solar;500000;30
1201 11;1201;Kurukshetra;Haryana;Male;3;2;1;1;93;No formal education;1;1;Don't know yet;2;;;1,5;15;32000;10000;5000;Pipeline inside own house;Wood;Solar;100000;20
1201 12;1201;Kurukshetra;Haryana;Male;3;1;0;0;50;Completed secondary education;1;1;Yes;1;1;Yes;4;60;118800;30000;0;Pipeline inside own house;LPG;Solar;;
1201 13;1201;Kurukshetra;Haryana;Male;2;2;0;2;60;Some primary education;2;;;2;;;0,5;8;16000;4000;7000;Pipeline inside own house;LPG;Solar;80000;40
1201 14;1201;Kurukshetra;Haryana;Female;1;1;0;0;60;No formal education;2;;;2;;;0,5;10;20000;3000;5000;Pipeline inside own house;LPG;Solar;50000;0
1201 15;1201;Kurukshetra;Haryana;Female;3;3;3;1;60;Completed primary education;2;;;2;;;1;5;12000;7000;4000;Pipeline inside own house;LPG;Solar;100000;70
1202 1;1202;Kurukshetra;Haryana;Female;2;2;0;0;45;Completed secondary education;2;;;2;;;4,5;45;90000;25000;20000;Borewell in residence yard;Wood;Solar;200000;60
1202 2;1202;Kurukshetra;Haryana;Female;3;2;0;0;52;No formal education;2;;;2;;;2;24;48000;24000;10000;Pipeline inside own house;LPG;Solar;50000;0
1202 3;1202;Kurukshetra;Haryana;Male;5;3;2;0;80;Some primary education;2;;;2;;;2;40;80000;10000;8000;Pipeline inside own house;LPG;Solar;200000;40
1202 5;1202;Kurukshetra;Haryana;Male;3;1;0;0;55;Completed secondary education;2;;;2;;;4;60;120000;30000;25000;Pipeline inside own house;LPG;Solar;;
1202 6;1202;Kurukshetra;Haryana;Male;2;2;0;0;46;Completed secondary education;1;1;No;1;2;Don't know yet;7;126;252000;77000;56000;Pipeline inside own house;LPG;Solar;;
1202 7;1202;Kurukshetra;Haryana;Male;1;1;1;2;35;Completed primary education;2;;;2;;;7;126;269640;20000;10000;Borewell in residence yard;LPG;Solar;350000;0
1202 8;1202;Kurukshetra;Haryana;Male;2;2;1;2;50;;2;;;2;;;1;18;38000;10000;8000;Borewell in residence yard;Wood;Solar;110000;60
1202 9;1202;Kurukshetra;Haryana;Male;2;3;0;0;48;Some primary education;2;;;1;2;Don't know yet;8;144;259200;64000;52000;Pipeline inside own house;LPG;Solar;100000;30
1202 10;1202;Kurukshetra;Haryana;Male;3;2;1;1;30;Completed secondary education;2;;;2;;;1;3;8000;6000;1500;Pipeline inside own house;LPG;Solar;100000;95
1202 11;1202;Kurukshetra;Haryana;Male;2;2;1;1;31;Completed university degree;2;;;1;2;Yes;2;44;86240;30000;0;Pipeline inside own house;LPG;Solar;;
1202 12;1202;Kurukshetra;Haryana;Female;3;3;1;1;60;No formal education;2;;;1;2;Yes;6;72;129600;30000;12000;Pipeline inside own house;LPG;Solar;1000000;0
1202 13;1202;Kurukshetra;Haryana;Male;3;4;0;0;74;Completed secondary education;2;;;1;2;Don't know yet;6;50;112000;20000;30000;Pipeline inside own house;LPG;Solar;;
1202 14;1202;Kurukshetra;Haryana;Male;3;3;0;0;45;Completed secondary education;2;;;2;;;2;36;64800;12000;5000;Pipeline inside own house;LPG;Solar;800000;80
1202 15;1202;Kurukshetra;Haryana;Male;2;3;2;0;26;Completed secondary education;2;;;2;;;8;144;273600;96000;14400;Pipeline inside own house;LPG;Solar;;
1202 16;1202;Kurukshetra;Haryana;Male;3;3;0;0;65;Some primary education;2;;;2;;;1;18;36000;10000;7000;Borewell in residence yard;LPG;Solar;;
1202 17;1202;Kurukshetra;Haryana;Male;2;2;2;3;69;Some secondary education;2;;;1;1;No;2;24;49200;22000;3000;Pipeline outside own house;LPG;Solar;40000;80
1202 18;1202;Kurukshetra;Haryana;Male;1;1;1;0;32;Completed university degree;2;;;2;;;8;144;288000;80000;64000;Borewell in residence yard;LPG;Solar;700000;20
1202 19;1202;Kurukshetra;Haryana;Male;3;3;0;1;51;Some secondary education;1;1;Yes;1;1;No;10;195;390000;150000;80000;Pipeline inside own house;LPG;Solar;500000;50
1202 20;1202;Kurukshetra;Haryana;Male;3;1;0;0;50;Completed secondary education;2;;;1;1;Don't know yet;5;95;129600;25000;7500;Pipeline inside own house;LPG;Solar;;
1203 2;1203;Kurukshetra;Haryana;Male;3;2;1;1;57;Completed primary education;2;;;1;1;Yes;2,700000048;55;107250;20000;12000;Pipeline inside own house;LPG;Solar;;
1203 3;1203;Kurukshetra;Haryana;Male;2;4;0;0;52;Completed university degree;1;2;Don't know yet;1;1;Yes;3,5;63;119700;18000;50000;Pipeline inside own house;LPG;Solar;120000;0
1203 4;1203;Kurukshetra;Haryana;Male;7;6;2;0;50;Completed primary education;2;;;1;2;Don't know yet;4;96;182400;48000;7200;Pipeline inside own house;LPG;Solar;1000000;0
1203 5;1203;Kurukshetra;Haryana;Male;1;1;0;0;59;Completed primary education;2;;;1;1;Yes;0,75;14;26000;5000;3000;Pipeline inside own house;LPG;Solar;;
1203 6;1203;Kurukshetra;Haryana;Male;4;3;3;1;70;No formal education;2;;;2;;;1,24000001;2;4000;;;Pipeline inside own house;LPG;Solar;;
1204 1;1204;Kurukshetra;Haryana;Male;2;2;0;1;76;Some secondary education;2;;;2;;;4;100;200000;50000;10000;Own well - sealed with pump/ handpump;LPG;Solar;200000;20
1204 2;1204;Kurukshetra;Haryana;Male;1;3;0;0;39;Some university education;2;;;2;;;8;20;39500;15000;5000;Pipeline inside own house;Wood;Solar;100000;
1204 3;1204;Kurukshetra;Haryana;Male;2;2;1;0;58;Some university education;2;;;2;;;3;44;86680;45000;15000;Borewell in residence yard;LPG;Solar;450000;0
1204 4;1204;Kurukshetra;Haryana;Male;2;2;0;0;41;Completed primary education;2;;;1;2;No;8;18;33550;15000;5000;Pipeline inside own house;Wood;Solar;300000;
1204 5;1204;Kurukshetra;Haryana;Male;1;1;1;0;32;Completed secondary education;2;;;1;1;Yes;10;200;400000;100000;30000;Own well - sealed with pump/ handpump;LPG;Solar;300000;
1204 6;1204;Kurukshetra;Haryana;Female;2;2;0;1;50;Completed primary education;2;;;2;;;3,5;50;100000;25000;15000;Pipeline inside own house;LPG;Solar;300000;0
1204 7;1204;Kurukshetra;Haryana;Male;4;4;1;0;33;Completed university degree;1;1;Yes;1;1;Yes;1;24;440000;16000;5000;Borewell in residence yard;LPG;Solar;300000;
1204 8;1204;Kurukshetra;Haryana;Male;3;3;2;1;41;Completed secondary education;1;1;Yes;1;1;Yes;10;220;440000;60000;40000;Pipeline inside own house;LPG;Solar;500000;40
1204 9;1204;Kurukshetra;Haryana;Male;2;2;1;0;50;Completed primary education;2;;;2;;;3;51;100470;45000;15000;Borewell in residence yard;LPG;Solar;300000;0
1204 10;1204;Kurukshetra;Haryana;Male;3;3;1;2;65;Some secondary education;2;;;1;2;No;5;100;203500;25000;75000;Pipeline inside own house;LPG;Solar;;0
1204 11;1204;Kurukshetra;Haryana;Male;3;2;0;0;70;;2;;;1;1;Yes;6;132;264000;90000;30000;Borewell in residence yard;Electricity;Solar;;
1204 12;1204;Kurukshetra;Haryana;Male;3;2;0;0;50;Completed primary education;2;;;1;1;Yes;6;90;173250;80000;36000;Pipeline inside own house;LPG;Solar;90000;0
1204 14;1204;Kurukshetra;Haryana;Male;4;2;0;0;45;Some secondary education;2;;;2;;;8;25;49375;12000;9000;Pipeline inside own house;Wood;Solar;300000;
1204 15;1204;Kurukshetra;Haryana;Male;5;2;2;0;45;Some secondary education;2;;;2;;;7;25;49374;15000;9000;Pipeline inside own house;Wood;Solar;300000;
1204 16;1204;Kurukshetra;Haryana;Male;2;2;1;0;50;Completed primary education;2;;;2;;;3;18;35100;9000;3000;Pipeline inside own house;Wood;Solar;200000;
1204 18;1204;Kurukshetra;Haryana;Male;4;2;0;0;40;Completed primary education;2;;;2;;;3;18;35100;9000;5000;Pipeline inside own house;Wood;Solar;300000;
1204 19;1204;Kurukshetra;Haryana;Male;5;2;0;0;45;Some secondary education;2;;;2;;;7;140;276500;49000;35000;Pipeline inside own house;LPG;Solar;250000;0
1204 20;1204;Kurukshetra;Haryana;Male;1;2;0;1;27;Some secondary education;2;;;1;1;Yes;3;72;139320;66000;6000;Pipeline inside own house;LPG;Solar;100000;0
1205 1;1205;Kurukshetra;Haryana;Male;2;2;1;0;60;No formal education;2;;;1;2;No;5;75;150000;20000;15000;Pipeline inside own house;LPG;Solar;;
1205 2;1205;Kurukshetra;Haryana;Male;2;3;1;0;57;Completed secondary education;2;;;2;;;1;12;24000;7000;3000;Pipeline inside own house;LPG;Solar;80;
1205 3;1205;Kurukshetra;Haryana;Male;3;1;0;0;46;Completed secondary education;1;1;Yes;1;2;Don't know yet;0,5;8;16000;4000;2000;Pipeline inside own house;LPG;Solar;150000;
1205 4;1205;Kurukshetra;Haryana;Male;3;3;0;0;50;Completed secondary education;2;;;2;;;3;75;150000;25000;21000;Pipeline inside own house;LPG;Solar;100000;0
1205 5;1205;Kurukshetra;Haryana;Male;2;2;0;0;42;Completed secondary education;2;;;1;2;Don't know yet;4;72;556;40000;12000;Pipeline inside own house;LPG;Solar;800000;0
1205 6;1205;Kurukshetra;Haryana;Male;3;3;0;3;60;Completed primary education;2;;;2;;;5,5;66;135300;38500;33200;Pipeline inside own house;LPG;Solar;;
1205 7;1205;Kurukshetra;Haryana;Male;2;2;0;0;36;No formal education;2;;;2;;;1;15;30000;10000;6000;Pipeline inside own house;Wood;Solar;;
1205 10;1205;Kurukshetra;Haryana;Male;1;1;1;1;43;Some secondary education;2;;;2;;;0,5;8;16000;5000;1500;Pipeline inside own house;LPG;Solar;;
1205 12;1205;Kurukshetra;Haryana;Male;3;2;0;0;55;No formal education;2;;;2;;;1;25;50000;7000;0;Pipeline inside own house;LPG;Solar;80000;0
1205 14;1205;Kurukshetra;Haryana;Male;2;1;2;1;72;;2;;;2;;;4;4;80;35000;18000;Public well – sealed with pump/ handpump;LPG;Solar;;
1205 15;1205;Kurukshetra;Haryana;Male;3;2;1;1;70;Completed primary education;2;;;1;2;No;2;30;61500;10000;6000;Pipeline inside own house;LPG;Solar;;
1205 17;1205;Kurukshetra;Haryana;Male;2;3;0;0;60;Completed university degree;1;1;Yes;1;1;Yes;6;140;190000;42000;38000;Pipeline inside own house;Wood;Solar;1200000;
1205 19;1205;Kurukshetra;Haryana;Male;3;4;1;1;46;Completed university degree;1;1;Yes;1;1;Yes;3;48;96000;20000;15000;Borewell in residence yard;LPG;Solar;2000000;40
1205 20;1205;Kurukshetra;Haryana;Male;2;2;0;2;47;Completed secondary education;2;;;1;2;Don't know yet;2;34;76500;8000;6000;Pipeline inside own house;LPG;Solar;;
1205 22;1205;Kurukshetra;Haryana;Male;2;2;0;0;49;Completed secondary education;1;1;Yes;1;1;Yes;3;48;97920;36000;12000;Borewell in residence yard;LPG;Solar;1000000;
1206 1;1206;Kurukshetra;Haryana;Female;1;1;1;2;32;No formal education;2;;;2;;;1;21;45000;7000;10000;Pipeline inside own house;Wood;Solar;80000;50
1206 2;1206;Kurukshetra;Haryana;Female;2;3;0;0;50;No formal education;1;1;Yes;2;;;1;20;45000;6000;4000;Pipeline inside own house;LPG;Solar;160000;80
1206 3;1206;Kurukshetra;Haryana;Male;2;2;0;0;50;Completed primary education;2;;;2;;;5;20;40000;15000;5000;Pipeline inside own house;Wood;Solar;90000;
1206 4;1206;Kurukshetra;Haryana;Male;3;3;2;0;65;Some secondary education;2;;;2;;;5;100;200000;20000;25000;Pipeline inside own house;LPG;Solar;150000;60
1206 6;1206;Kurukshetra;Haryana;Male;2;2;0;0;45;Completed primary education;2;;;2;;;6;25;50000;20000;5000;Pipeline inside own house;Wood;Solar;100000;
1206 7;1206;Kurukshetra;Haryana;Male;1;2;1;1;49;No formal education;1;1;Yes;2;;;0,5;8;16000;5000;2000;Pipeline inside own house;Wood;Solar;80000;85
1206 8;1206;Kurukshetra;Haryana;Female;3;4;2;2;61;No formal education;2;;;2;;;0,5;7;14000;4000;6000;Pipeline inside own house;LPG;Solar;80000;80
1206 9;1206;Kurukshetra;Haryana;Male;2;3;0;0;55;Some secondary education;2;;;2;;;3;20;40000;15000;5000;Pipeline inside own house;Wood;Solar;90000;
1206 10;1206;Kurukshetra;Haryana;Male;2;3;0;0;51;Completed secondary education;2;;;1;1;Yes;2;44;87120;22000;13000;Pipeline inside own house;Wood;Solar;180000;65
1206 11;1206;Kurukshetra;Haryana;Female;2;2;2;0;30;Completed secondary education;2;;;2;;;1;18;36000;8000;2000;Pipeline inside own house;LPG;Solar;100000;70
1206 12;1206;Kurukshetra;Haryana;Female;3;1;0;0;49;Some primary education;2;;;2;;;3;60;120000;15000;10000;Pipeline inside own house;LPG;Solar;70000;30
1206 13;1206;Kurukshetra;Haryana;Male;2;2;1;0;62;Completed primary education;2;;;2;;;0,200000003;3;6000;2000;5000;Pipeline inside own house;LPG;Solar;70000;90
1206 14;1206;Kurukshetra;Haryana;Male;1;1;1;1;48;Completed secondary education;2;;;2;;;1;22;48000;1000;5000;Pipeline inside own house;Wood;Solar;200000;60
1206 15;1206;Kurukshetra;Haryana;Male;2;2;0;0;50;Completed secondary education;2;;;2;;;6;15;30000;18000;3000;Pipeline inside own house;Wood;Solar;60000;
1206 16;1206;Kurukshetra;Haryana;Female;2;2;1;1;45;Completed secondary education;2;;;2;;;0,5;8;16000;3000;7000;Pipeline inside own house;LPG;Solar;50000;0
1206 17;1206;Kurukshetra;Haryana;Male;2;2;1;1;67;Completed primary education;2;;;1;1;Yes;4;88;176000;15000;10000;Pipeline inside own house;LPG;Solar;300000;70
1207 1;1207;Kurukshetra;Haryana;Male;2;2;1;1;70;Completed primary education;1;1;No;1;1;No;20;200;400000;140000;100000;Pipeline inside own house;Wood;Solar;;
1207 2;1207;Kurukshetra;Haryana;Female;3;4;1;0;54;Completed primary education;2;;;2;;;4;80;160000;22000;10000;Pipeline inside own house;LPG;Solar;400000;70
1207 3;1207;Kurukshetra;Haryana;Male;2;3;1;0;42;Completed primary education;2;;;1;2;Don't know yet;10;150;300000;60000;40000;Borewell in residence yard;Wood;Solar;500000;
1207 5;1207;Kurukshetra;Haryana;Female;3;2;0;0;45;;2;;;1;2;Don't know yet;9;180;360000;135000;45000;Pipeline inside own house;Wood;Solar;600000;30
1207 6;1207;Kurukshetra;Haryana;Male;2;2;0;0;70;;2;;;2;;;2;40;80000;20000;11000;Pipeline inside own house;LPG;Solar;100000;10
1207 7;1207;Kurukshetra;Haryana;Male;4;3;1;1;56;Some secondary education;2;;;2;;;3;60;120000;30000;21000;Borewell in residence yard;LPG;Solar;100000;0
1207 8;1207;Kurukshetra;Haryana;Male;5;2;0;0;45;Completed primary education;2;;;2;;;2;48;96000;10000;14000;Pipeline inside own house;LPG;Solar;100000;25
1207 9;1207;Kurukshetra;Haryana;Male;1;1;1;0;50;Completed primary education;2;;;1;2;Don't know yet;2;60,99971399;64000;30000;8000;Pipeline inside own house;LPG;Solar;120000;0
1207 10;1207;Kurukshetra;Haryana;Male;3;1;0;0;44;Completed university degree;2;;;1;2;No;1;20;40000;9000;4000;Pipeline inside own house;LPG;Solar;80000;80
1207 11;1207;Kurukshetra;Haryana;Female;2;3;0;2;70;;2;;;2;;;1,5;25;50000;15000;7000;Pipeline inside own house;LPG;Solar;150000;70
1207 12;1207;Kurukshetra;Haryana;Male;3;2;1;0;45;Some secondary education;2;;;2;;;2;45;90000;15000;15000;Pipeline inside own house;LPG;Solar;100000;0
1208 2;1208;Kurukshetra;Haryana;Male;2;3;0;0;48;Completed secondary education;1;1;Yes;1;2;No;2;32;64000;40000;7000;Pipeline inside own house;LPG;Solar;300000;60
1208 4;1208;Kurukshetra;Haryana;Male;3;2;0;0;70;Some secondary education;2;;;2;;;1;22;244000;15000;5000;Pipeline inside own house;LPG;Solar;150000;70
1208 5;1208;Kurukshetra;Haryana;Male;3;2;0;0;50;;2;;;1;2;Don't know yet;2;8;16000;30000;6000;Pipeline inside own house;LPG;Solar;170000;80
1208 6;1208;Kurukshetra;Haryana;Male;5;6;1;1;45;Completed primary education;2;;;2;;;2;15;30000;10000;5000;Pipeline inside own house;Wood;Solar;100000;
1208 7;1208;Kurukshetra;Haryana;Male;1;2;1;0;50;Some secondary education;2;;;2;;;2;28;56000;15000;7000;Pipeline inside own house;Wood;Solar;300000;
1208 9;1208;Kurukshetra;Haryana;Male;2;2;0;0;45;Completed secondary education;2;;;2;;;1;20;40000;14000;4500;Pipeline inside own house;LPG;Solar;90000;30
1208 10;1208;Kurukshetra;Haryana;Male;6;6;2;2;52;Some secondary education;1;1;Yes;1;1;No;18;360;720000;270000;90000;Pipeline inside own house;LPG;Solar;;
1208 14;1208;Kurukshetra;Haryana;Male;2;2;0;1;45;Some secondary education;2;;;2;;;3;60;120000;39000;12000;Pipeline inside own house;LPG;Solar;90000;50
1208 16;1208;Kurukshetra;Haryana;Male;5;2;1;1;54;;2;;;2;;;3,099999905;20;40000;15000;5000;Pipeline inside own house;Wood;Solar;100000;
1209 1;1209;Kurukshetra;Haryana;Male;3;3;1;1;70;Completed primary education;2;;;2;;;2,5;55;110000;20000;15000;Pipeline outside own house;LPG;Solar;150000;
1209 3;1209;Kurukshetra;Haryana;Male;1;1;1;1;38;Some secondary education;2;;;2;;;15;20;40000;15000;9000;Pipeline inside own house;Wood;Solar;200000;
1209 4;1209;Kurukshetra;Haryana;Male;4;5;0;0;43;Completed primary education;1;1;Yes;1;1;No;8;160;300000;80000;60;Own well - sealed with pump/ handpump;Biogas;Solar;400000;0
1209 5;1209;Kurukshetra;Haryana;Male;3;4;1;0;62;Completed secondary education;2;;;1;1;No;6;96;192000;50000;25000;Public well – sealed with pump/ handpump;LPG;Solar;500000;25
1209 6;1209;Kurukshetra;Haryana;Male;5;2;2;0;45;Some secondary education;2;;;2;;;6;22;42900;20000;12000;Pipeline inside own house;Wood;Solar;300000;
1209 7;1209;Kurukshetra;Haryana;Male;2;2;1;0;39;Completed primary education;2;;;2;;;2,5;15;30000;10000;5000;Pipeline inside own house;Wood;Solar;200000;
1209 8;1209;Kurukshetra;Haryana;Male;2;2;1;0;32;Completed secondary education;2;;;2;;;7;15;33000;10000;5000;Pipeline inside own house;Wood;Solar;300000;
1209 9;1209;Kurukshetra;Haryana;Female;1;1;0;0;48;No formal education;2;;;2;;;0,100000001;2;4000;800;1500;Pipeline inside own house;Wood;Solar;;
1209 10;1209;Kurukshetra;Haryana;Male;1;1;1;0;38;Completed secondary education;2;;;2;;;6;20;40000;15000;9000;Pipeline inside own house;Wood;Solar;300000;
1209 11;1209;Kurukshetra;Haryana;Male;3;2;1;0;56;Completed secondary education;2;;;2;;;3;75;150000;30000;21000;Pipeline inside own house;LPG;Solar;100000;20
1209 12;1209;Kurukshetra;Haryana;Female;4;4;1;0;65;No formal education;2;;;2;;;8;144;288000;35000;60000;Pipeline inside own house;LPG;Solar;400000;30
1209 13;1209;Kurukshetra;Haryana;Male;4;3;0;2;32;Completed secondary education;2;;;2;;;2;30;60000;7000;15000;Pipeline inside own house;LPG;Solar;100000;80
1209 14;1209;Kurukshetra;Haryana;Male;2;2;0;0;50;Some secondary education;2;;;2;;;1,5;20;40000;15000;9000;Pipeline inside own house;Wood;Solar;200000;
1209 15;1209;Kurukshetra;Haryana;Male;1;2;0;1;26;Completed secondary education;2;;;2;;;6;66;130000;50000;10000;Own well - sealed with pump/ handpump;Biogas;Solar;200000;25
1209 16;1209;Kurukshetra;Haryana;Female;2;3;1;1;37;Completed university degree;2;;;2;;;1;15;30000;4000;8000;Pipeline inside own house;LPG;Solar;150000;60
1209 17;1209;Kurukshetra;Haryana;Male;2;3;0;0;52;No formal education;2;;;1;1;Don't know yet;16;100;200000;100000;500000;Own well - sealed with pump/ handpump;LPG;Solar;500000;20
1209 18;1209;Kurukshetra;Haryana;Female;2;3;0;0;47;Completed secondary education;2;;;1;1;Yes;0,124000005;3;6000;2;500;Own well - sealed with pump/ handpump;LPG;Solar;70000;75
1209 19;1209;Kurukshetra;Haryana;Male;2;2;0;0;45;Some secondary education;2;;;2;;;5;100;220000;50000;35000;Borewell in residence yard;LPG;Solar;300000;25
1209 20;1209;Kurukshetra;Haryana;Male;3;2;1;0;63;Completed primary education;2;;;1;2;No;20;20;44000;60000;10000;Pipeline inside own house;Wood;Solar;300000;
1209 21;1209;Kurukshetra;Haryana;Male;3;2;1;1;55;Completed primary education;2;;;2;;;4;70;140000;50000;15000;Own well - sealed with pump/ handpump;LPG;Solar;60000;0,25
1210 1;1210;Kurukshetra;Haryana;Male;3;1;0;0;50;Completed secondary education;1;2;Don't know yet;1;2;Don't know yet;1,5;22;42900;6000;9150;Pipeline inside own house;LPG;Solar;;
1210 2;1210;Kurukshetra;Haryana;Male;2;2;1;1;45;Completed secondary education;2;;;2;;;3;69;138000;45000;15000;Borewell in residence yard;LPG;Solar;;
1210 3;1210;Kurukshetra;Haryana;Male;1;1;0;0;65;Some university education;2;;;1;2;Don't know yet;3;60;120000;30000;15000;Borewell in residence yard;LPG;Solar;;
1210 4;1210;Kurukshetra;Haryana;Male;4;2;1;0;31;Completed university degree;1;1;Yes;1;2;Don't know yet;2,5;62;124000;25000;6000;Borewell in residence yard;LPG;Solar;70000;0
1210 5;1210;Kurukshetra;Haryana;Male;2;2;1;0;30;Completed primary education;2;;;2;;;1;22;44000;10000;8000;Pipeline inside own house;LPG;Solar;;
1210 6;1210;Kurukshetra;Haryana;Male;2;2;1;0;52;Some secondary education;2;;;2;;;6;120;240000;60000;42000;Borewell in residence yard;LPG;Solar;200000;0
1210 7;1210;Kurukshetra;Haryana;Male;5;4;0;0;75;;2;;;1;2;Don't know yet;3;48;96000;36000;15000;Pipeline inside own house;LPG;Solar;;
1210 10;1210;Kurukshetra;Haryana;Male;2;3;2;2;85;;2;;;2;;;3;60;120000;45000;15000;Pipeline inside own house;LPG;Solar;;
